timecreated,dayofsemester,court,dayofcuort,monthh,dayofmonth,weekk,dayofweek,hourr,holidayss,loggedin
2022-04-07 17:00:00,17,1,17,1,17,3,3,17,0,283
2022-04-07 18:00:00,17,1,17,1,17,3,3,18,0,296
2022-04-07 19:00:00,17,1,17,1,17,3,3,19,0,325
2022-04-07 20:00:00,17,1,17,1,17,3,3,20,0,313
2022-04-07 21:00:00,17,1,17,1,17,3,3,21,0,363
2022-04-07 22:00:00,17,1,17,1,17,3,3,22,0,383
2022-04-07 23:00:00,17,1,17,1,17,3,3,23,0,433
2022-04-08 00:00:00,18,1,18,1,18,3,4,0,0,303
2022-04-08 01:00:00,18,1,18,1,18,3,4,1,0,339
2022-04-08 02:00:00,18,1,18,1,18,3,4,2,0,322
2022-04-08 03:00:00,18,1,18,1,18,3,4,3,0,252
2022-04-08 04:00:00,18,1,18,1,18,3,4,4,0,148
2022-04-08 05:00:00,18,1,18,1,18,3,4,5,0,44
2022-04-08 06:00:00,18,1,18,1,18,3,4,6,0,30
2022-04-08 07:00:00,18,1,18,1,18,3,4,7,0,11
2022-04-08 08:00:00,18,1,18,1,18,3,4,8,0,10
2022-04-08 09:00:00,18,1,18,1,18,3,4,9,0,15
2022-04-08 10:00:00,18,1,18,1,18,3,4,10,0,38
2022-04-08 11:00:00,18,1,18,1,18,3,4,11,0,166
2022-04-08 12:00:00,18,1,18,1,18,3,4,12,0,201
2022-04-08 13:00:00,18,1,18,1,18,3,4,13,0,310
2022-04-08 14:00:00,18,1,18,1,18,3,4,14,0,320
2022-04-08 15:00:00,18,1,18,1,18,3,4,15,0,371
2022-04-08 16:00:00,18,1,18,1,18,3,4,16,0,417
2022-04-08 17:00:00,18,1,18,1,18,3,4,17,0,317
2022-04-08 18:00:00,18,1,18,1,18,3,4,18,0,376
2022-04-08 19:00:00,18,1,18,1,18,3,4,19,0,365
2022-04-08 20:00:00,18,1,18,1,18,3,4,20,0,341
2022-04-08 21:00:00,18,1,18,1,18,3,4,21,0,316
2022-04-08 22:00:00,18,1,18,1,18,3,4,22,0,332
2022-04-08 23:00:00,18,1,18,1,18,3,4,23,0,309
2022-04-09 00:00:00,19,1,19,1,19,3,5,0,0,343
2022-04-09 01:00:00,19,1,19,1,19,3,5,1,0,330
2022-04-09 02:00:00,19,1,19,1,19,3,5,2,0,318
2022-04-09 03:00:00,19,1,19,1,19,3,5,3,0,248
2022-04-09 04:00:00,19,1,19,1,19,3,5,4,0,146
2022-04-09 05:00:00,19,1,19,1,19,3,5,5,0,39
2022-04-09 06:00:00,19,1,19,1,19,3,5,6,0,21
2022-04-09 07:00:00,19,1,19,1,19,3,5,7,0,4
2022-04-09 08:00:00,19,1,19,1,19,3,5,8,0,6
